[2019-12-07 19:10:16]:  Undefined variable: sdfas in /home/vagrant/code/mvc/index.php on line 14
[2019-12-07 19:10:17]:  Undefined variable: sdfas in /home/vagrant/code/mvc/index.php on line 14
[2019-12-07 19:10:23]:  Undefined variable: sdfas in /home/vagrant/code/mvc/index.php on line 14
[2019-12-07 19:12:17]:  Undefined variable: sdfas in /home/vagrant/code/mvc/index.php on line 16
[2019-12-07 19:12:17]:  Undefined variable: sdfas in /home/vagrant/code/mvc/index.php on line 16
[2019-12-07 19:12:26]:  Undefined variable: sdfas in /home/vagrant/code/mvc/index.php on line 14
[2019-12-07 19:12:32]:  Undefined variable: sdfas in /home/vagrant/code/mvc/index.php on line 14
[2019-12-07 19:12:32]:  Undefined variable: sdfas in /home/vagrant/code/mvc/index.php on line 14
[2019-12-07 19:13:07]:  Undefined variable: sdfas in /home/vagrant/code/mvc/index.php on line 14
[2019-12-07 19:13:16]:  Undefined variable: sdfas in /home/vagrant/code/mvc/index.php on line 14
[2019-12-07 19:34:13]:  call_user_func_array() expects parameter 1 to be a valid callback, class 'StorageController' does not have a method 'get_products_list' in /home/vagrant/code/mvc/components/Router.php on line 53
[2019-12-07 19:34:14]:  call_user_func_array() expects parameter 1 to be a valid callback, class 'StorageController' does not have a method 'get_products_list' in /home/vagrant/code/mvc/components/Router.php on line 53
[2019-12-07 20:28:03]:  call_user_func_array() expects parameter 1 to be a valid callback, class 'StorageController' does not have a method 'get_products_listsstorage' in /home/vagrant/code/mvc/components/Router.php on line 53
[2019-12-07 20:28:03]:  Trying to access array offset on value of type int in /home/vagrant/code/mvc/views/main/main.php on line 7
[2019-12-07 20:28:03]:  Trying to access array offset on value of type int in /home/vagrant/code/mvc/views/main/main.php on line 9
[2019-12-07 20:28:03]:  Illegal string offset 'photo' in /home/vagrant/code/mvc/views/main/main.php on line 7
[2019-12-07 20:28:03]:  Illegal string offset 'price' in /home/vagrant/code/mvc/views/main/main.php on line 9
[2019-12-07 20:28:03]:  Trying to access array offset on value of type int in /home/vagrant/code/mvc/views/main/main.php on line 7
[2019-12-07 20:28:03]:  Trying to access array offset on value of type int in /home/vagrant/code/mvc/views/main/main.php on line 9
[2019-12-07 20:28:03]:  call_user_func_array() expects parameter 1 to be a valid callback, class 'StorageController' does not have a method 'get_products_listsstorage' in /home/vagrant/code/mvc/components/Router.php on line 53
[2019-12-07 20:28:04]:  call_user_func_array() expects parameter 1 to be a valid callback, class 'StorageController' does not have a method 'get_products_listsstorage' in /home/vagrant/code/mvc/components/Router.php on line 53
[2019-12-07 20:28:04]:  call_user_func_array() expects parameter 1 to be a valid callback, class 'StorageController' does not have a method 'get_products_listsstorage' in /home/vagrant/code/mvc/components/Router.php on line 53
[2019-12-07 20:28:04]:  call_user_func_array() expects parameter 1 to be a valid callback, class 'StorageController' does not have a method 'get_products_listsstorage' in /home/vagrant/code/mvc/components/Router.php on line 53
[2019-12-07 20:28:04]:  call_user_func_array() expects parameter 1 to be a valid callback, class 'StorageController' does not have a method 'get_products_listtstorage' in /home/vagrant/code/mvc/components/Router.php on line 53
[2019-12-07 20:31:17]:  call_user_func_array() expects parameter 1 to be a valid callback, class 'StorageController' does not have a method 'get_products_listsstorage' in /home/vagrant/code/mvc/components/Router.php on line 53
[2019-12-07 20:31:17]:  call_user_func_array() expects parameter 1 to be a valid callback, class 'StorageController' does not have a method 'get_products_listsstorage' in /home/vagrant/code/mvc/components/Router.php on line 53
[2019-12-07 20:31:17]:  call_user_func_array() expects parameter 1 to be a valid callback, class 'StorageController' does not have a method 'get_products_listsstorage' in /home/vagrant/code/mvc/components/Router.php on line 53
[2019-12-07 20:31:17]:  call_user_func_array() expects parameter 1 to be a valid callback, class 'StorageController' does not have a method 'get_products_listsstorage' in /home/vagrant/code/mvc/components/Router.php on line 53
[2019-12-07 20:31:17]:  call_user_func_array() expects parameter 1 to be a valid callback, class 'StorageController' does not have a method 'get_products_listsstorage' in /home/vagrant/code/mvc/components/Router.php on line 53
[2019-12-07 20:31:28]:  call_user_func_array() expects parameter 1 to be a valid callback, class 'StorageController' does not have a method 'get_products_listsstorage' in /home/vagrant/code/mvc/components/Router.php on line 53
[2019-12-07 20:31:28]:  call_user_func_array() expects parameter 1 to be a valid callback, class 'StorageController' does not have a method 'get_products_listsstorage' in /home/vagrant/code/mvc/components/Router.php on line 53
[2019-12-07 20:31:28]:  call_user_func_array() expects parameter 1 to be a valid callback, class 'StorageController' does not have a method 'get_products_listsstorage' in /home/vagrant/code/mvc/components/Router.php on line 53
[2019-12-07 20:31:28]:  call_user_func_array() expects parameter 1 to be a valid callback, class 'StorageController' does not have a method 'get_products_listsstorage' in /home/vagrant/code/mvc/components/Router.php on line 53
[2019-12-07 20:31:28]:  call_user_func_array() expects parameter 1 to be a valid callback, class 'StorageController' does not have a method 'get_products_listsstorage' in /home/vagrant/code/mvc/components/Router.php on line 53
[2019-12-07 20:32:14]:  call_user_func_array() expects parameter 1 to be a valid callback, class 'StorageController' does not have a method 'get_products_listsstorage' in /home/vagrant/code/mvc/components/Router.php on line 53
[2019-12-07 20:32:14]:  call_user_func_array() expects parameter 1 to be a valid callback, class 'StorageController' does not have a method 'get_products_listsstorage' in /home/vagrant/code/mvc/components/Router.php on line 53
[2019-12-07 20:32:14]:  call_user_func_array() expects parameter 1 to be a valid callback, class 'StorageController' does not have a method 'get_products_listsstorage' in /home/vagrant/code/mvc/components/Router.php on line 53
[2019-12-07 20:32:14]:  call_user_func_array() expects parameter 1 to be a valid callback, class 'StorageController' does not have a method 'get_products_listsstorage' in /home/vagrant/code/mvc/components/Router.php on line 53
[2019-12-07 20:33:39]:  call_user_func_array() expects parameter 1 to be a valid callback, class 'StorageController' does not have a method 'get_products_listsstorage' in /home/vagrant/code/mvc/components/Router.php on line 53
[2019-12-07 20:33:40]:  call_user_func_array() expects parameter 1 to be a valid callback, class 'StorageController' does not have a method 'get_products_listsstorage' in /home/vagrant/code/mvc/components/Router.php on line 53
